,Genre,year,num_canciones
0,Easy,2005.0,1
1,Easy,2010.0,1
2,Folk,2000.0,3
3,Folk,2005.0,4
4,HipHop,2000.0,21
5,HipHop,2005.0,51
6,HipHop,2010.0,54
7,HipHop,2015.0,33
8,HipHop,2019.0,37
9,Latin,2000.0,3
10,Latin,2005.0,3
11,Latin,2010.0,2
12,Latin,2019.0,8
13,Classical,2015.0,1
14,Country,2005.0,3
15,Country,2010.0,4
16,Country,2019.0,1
17,Dance,2000.0,5
18,Dance,2005.0,5
19,Dance,2010.0,28
20,Dance,2015.0,28
21,Dance,2019.0,21
22,R&B,2000.0,25
23,R&B,2005.0,31
24,R&B,2010.0,23
25,R&B,2015.0,21
26,R&B,2019.0,9
27,Pop,2000.0,57
28,Pop,2005.0,81
29,Pop,2010.0,97
30,Pop,2015.0,89
31,Pop,2019.0,63
32,Rock,2000.0,13
33,Rock,2005.0,19
34,Rock,2010.0,6
35,Rock,2015.0,14
36,Rock,2019.0,2
37,Metal,2000.0,8
38,Metal,2005.0,5
39,Metal,2015.0,2
40,Metal,2019.0,2
41,Jazz,2005.0,1
42,World,2000.0,1
43,World,2005.0,2
44,World,2010.0,1
