Genre,year,popularity,num_canciones,Aver. Pop
Blues,1999.0,66.0,1,66.0
Blues,2003.0,3.0,1,3.0
Blues,2007.0,113.0,2,56.5
Classical,2015.0,63.0,1,63.0
Country,1999.0,66.0,1,66.0
Country,2001.0,186.0,3,62.0
Country,2005.0,205.0,3,68.33333333333333
Country,2006.0,69.0,2,34.5
Country,2009.0,50.0,1,50.0
Country,2010.0,190.0,4,47.5
Country,2011.0,113.0,2,56.5
Country,2012.0,120.0,3,40.0
Country,2013.0,56.0,1,56.0
Country,2019.0,69.0,1,69.0
Dance,1999.0,171.0,3,57.0
Dance,2000.0,212.0,5,42.4
Dance,2001.0,628.0,12,52.333333333333336
Dance,2002.0,164.0,3,54.666666666666664
Dance,2003.0,469.0,10,46.9
Dance,2004.0,390.0,9,43.333333333333336
Dance,2005.0,260.0,5,52.0
Dance,2006.0,328.0,6,54.666666666666664
Dance,2007.0,419.0,9,46.55555555555556
Dance,2008.0,417.0,7,59.57142857142857
Dance,2009.0,471.0,12,39.25
Dance,2010.0,912.0,28,32.57142857142857
Dance,2011.0,1025.0,26,39.42307692307692
Dance,2012.0,1358.0,36,37.72222222222222
Dance,2013.0,1056.0,26,40.61538461538461
Dance,2014.0,1490.0,41,36.34146341463415
Dance,2015.0,1053.0,28,37.607142857142854
Dance,2016.0,1515.0,42,36.07142857142857
Dance,2017.0,1238.0,30,41.266666666666666
Dance,2018.0,1285.0,31,41.45161290322581
Dance,2019.0,921.0,20,46.05
Easy,1999.0,65.0,1,65.0
Easy,2002.0,60.0,1,60.0
Easy,2003.0,55.0,1,55.0
Easy,2005.0,60.0,1,60.0
Easy,2008.0,60.0,1,60.0
Easy,2010.0,58.0,1,58.0
Easy,2017.0,72.0,1,72.0
Folk,1999.0,65.0,1,65.0
Folk,2000.0,137.0,3,45.666666666666664
Folk,2001.0,60.0,1,60.0
Folk,2002.0,132.0,2,66.0
Folk,2005.0,243.0,4,60.75
Folk,2008.0,109.0,2,54.5
Folk,2009.0,68.0,1,68.0
Folk,2011.0,79.0,1,79.0
Folk,2012.0,79.0,1,79.0
Folk,2014.0,81.0,1,81.0
Folk,2016.0,71.0,2,35.5
Folk,2017.0,80.0,1,80.0
HipHop,1998.0,49.0,1,49.0
HipHop,1999.0,420.0,7,60.0
HipHop,2000.0,971.0,21,46.23809523809524
HipHop,2001.0,1000.0,32,31.25
HipHop,2002.0,1635.0,46,35.54347826086956
HipHop,2003.0,1393.0,34,40.970588235294116
HipHop,2004.0,1466.0,43,34.093023255813954
HipHop,2005.0,1753.0,51,34.372549019607845
HipHop,2006.0,1445.0,27,53.51851851851852
HipHop,2007.0,1229.0,40,30.725
HipHop,2008.0,1299.0,35,37.114285714285714
HipHop,2009.0,1338.0,34,39.35294117647059
HipHop,2010.0,1727.0,54,31.98148148148148
HipHop,2011.0,1404.0,47,29.872340425531913
HipHop,2012.0,1566.0,44,35.59090909090909
HipHop,2013.0,1172.0,27,43.407407407407405
HipHop,2014.0,1366.0,30,45.53333333333333
HipHop,2015.0,1026.0,33,31.09090909090909
HipHop,2016.0,1311.0,39,33.61538461538461
HipHop,2017.0,1277.0,42,30.404761904761905
HipHop,2018.0,1576.0,50,31.52
HipHop,2019.0,1186.0,36,32.94444444444444
HipHop,2020.0,91.0,2,45.5
Jazz,2003.0,55.0,1,55.0
Jazz,2005.0,60.0,1,60.0
Latin,1999.0,176.0,3,58.666666666666664
Latin,2000.0,61.0,3,20.333333333333332
Latin,2001.0,194.0,3,64.66666666666667
Latin,2003.0,110.0,3,36.666666666666664
Latin,2004.0,81.0,2,40.5
Latin,2005.0,158.0,3,52.666666666666664
Latin,2006.0,242.0,3,80.66666666666667
Latin,2007.0,102.0,2,51.0
Latin,2008.0,52.0,1,52.0
Latin,2009.0,190.0,3,63.333333333333336
Latin,2010.0,63.0,2,31.5
Latin,2011.0,155.0,3,51.666666666666664
Latin,2012.0,221.0,4,55.25
Latin,2014.0,224.0,3,74.66666666666667
Latin,2016.0,68.0,1,68.0
Latin,2017.0,310.0,7,44.285714285714285
Latin,2018.0,505.0,9,56.111111111111114
Latin,2019.0,598.0,8,74.75
Metal,1999.0,204.0,3,68.0
Metal,2000.0,416.0,8,52.0
Metal,2001.0,396.0,8,49.5
Metal,2002.0,356.0,5,71.2
Metal,2003.0,496.0,12,41.333333333333336
Metal,2004.0,60.0,1,60.0
Metal,2005.0,347.0,5,69.4
Metal,2006.0,65.0,1,65.0
Metal,2007.0,228.0,6,38.0
Metal,2008.0,398.0,6,66.33333333333333
Metal,2009.0,143.0,2,71.5
Metal,2011.0,141.0,2,70.5
Metal,2012.0,125.0,2,62.5
Metal,2015.0,130.0,2,65.0
Metal,2016.0,45.0,1,45.0
Metal,2019.0,65.0,2,32.5
Pop,1998.0,49.0,1,49.0
Pop,1999.0,1165.0,29,40.172413793103445
Pop,2000.0,1491.0,56,26.625
Pop,2001.0,2204.0,92,23.956521739130434
Pop,2002.0,1988.0,74,26.864864864864863
Pop,2003.0,1846.0,79,23.367088607594937
Pop,2004.0,1880.0,66,28.484848484848484
Pop,2005.0,1912.0,81,23.604938271604937
Pop,2006.0,2310.0,75,30.8
Pop,2007.0,1654.0,71,23.295774647887324
Pop,2008.0,2106.0,83,25.373493975903614
Pop,2009.0,1635.0,68,24.044117647058822
Pop,2010.0,2087.0,97,21.515463917525775
Pop,2011.0,1823.0,83,21.96385542168675
Pop,2012.0,2323.0,104,22.33653846153846
Pop,2013.0,2269.0,72,31.51388888888889
Pop,2014.0,2270.0,97,23.4020618556701
Pop,2015.0,2036.0,89,22.876404494382022
Pop,2016.0,1927.0,87,22.149425287356323
Pop,2017.0,2021.0,87,23.229885057471265
Pop,2018.0,1839.0,74,24.85135135135135
Pop,2019.0,1840.0,62,29.677419354838708
Pop,2020.0,73.0,2,36.5
R&B,1998.0,49.0,1,49.0
R&B,1999.0,453.0,8,56.625
R&B,2000.0,987.0,25,39.48
R&B,2001.0,1418.0,37,38.32432432432432
R&B,2002.0,1062.0,32,33.1875
R&B,2003.0,1147.0,34,33.73529411764706
R&B,2004.0,1224.0,30,40.8
R&B,2005.0,1081.0,31,34.87096774193548
R&B,2006.0,1292.0,28,46.142857142857146
R&B,2007.0,1132.0,34,33.294117647058826
R&B,2008.0,1494.0,37,40.37837837837838
R&B,2009.0,1009.0,23,43.869565217391305
R&B,2010.0,943.0,23,41.0
R&B,2011.0,630.0,20,31.5
R&B,2012.0,551.0,10,55.1
R&B,2013.0,458.0,8,57.25
R&B,2014.0,560.0,9,62.22222222222222
R&B,2015.0,947.0,21,45.095238095238095
R&B,2016.0,1101.0,19,57.94736842105263
R&B,2017.0,143.0,3,47.666666666666664
R&B,2018.0,665.0,10,66.5
R&B,2019.0,420.0,9,46.666666666666664
Rock,1999.0,554.0,8,69.25
Rock,2000.0,566.0,13,43.53846153846154
Rock,2001.0,589.0,16,36.8125
Rock,2002.0,767.0,14,54.785714285714285
Rock,2003.0,548.0,14,39.142857142857146
Rock,2004.0,598.0,11,54.36363636363637
Rock,2005.0,772.0,19,40.63157894736842
Rock,2006.0,874.0,14,62.42857142857143
Rock,2007.0,798.0,20,39.9
Rock,2008.0,797.0,14,56.92857142857143
Rock,2009.0,417.0,9,46.333333333333336
Rock,2010.0,275.0,6,45.833333333333336
Rock,2011.0,580.0,12,48.333333333333336
Rock,2012.0,655.0,11,59.54545454545455
Rock,2013.0,458.0,7,65.42857142857143
Rock,2014.0,290.0,7,41.42857142857143
Rock,2015.0,724.0,14,51.714285714285715
Rock,2016.0,326.0,7,46.57142857142857
Rock,2017.0,264.0,7,37.714285714285715
Rock,2018.0,448.0,8,56.0
Rock,2019.0,65.0,2,32.5
World,2000.0,69.0,1,69.0
World,2003.0,61.0,1,61.0
World,2004.0,120.0,2,60.0
World,2005.0,135.0,2,67.5
World,2006.0,96.0,2,48.0
World,2010.0,0.0,1,0.0
World,2020.0,57.0,1,57.0
